Name,Zone,NumberUnits,MaxPower,VariableCost,Capacity,CO2Rate,CapitalCost,FixedCost,AvailabilityRate
Electricity|Biomass|w/o CCS,DolAmroth,1,367.12,3.816000000000001,367.12,0.0,1945000.0,35000.0,1
Electricity|Biomass|w/o CCS,Harad,1,469.141614393073,3.816000000000001,469.141614393073,0.0,1945000.0,35000.0,1
Electricity|Biomass|w/o CCS,RoGonDor,1,19573.5,3.816000000000001,19573.5,0.0,1945000.0,35000.0,1
Electricity|Coal|Hard coal|w/o CCS,DolAmroth,1,11.9233920000001,2.9999999988,11.9233920000001,0.7511999999248801,1050750.0,31500.0,1
Electricity|Coal|Hard coal|w/o CCS,Harad,1,1783.371950579259,2.9999999988,1783.371950579259,0.7511999999248801,451500.0,31500.0,1
Electricity|Coal|Hard coal|w/o CCS,RoGonDor,1,16445.954879200908,2.9999999988,16445.954879200908,0.7511999999248801,451500.0,31500.0,1
Electricity|Coal|Lignite|w/o CCS,RoGonDor,1,5339.7840928038,2.9999999988,5339.7840928038,0.94971428573328,1800000.0,39000.0,1
Electricity|Gas|CCGT|w/o CCS,DolAmroth,1,2000.0,82.04299427035427,2000.0,0.34634482757928,10.0,0.0,1
Electricity|Gas|CCGT|w/o CCS,Harad,1,15000.0,81.51791597302855,15000.0,0.34634482757928,10.0,0.0,1
Electricity|Gas|CCGT|w/o CCS,RoGonDor,1,83694.00227687234,81.66487751511683,83694.00227687234,0.34634482757928,10.0,0.0,1
Electricity|Gas|OCGT|w/o CCS,Harad,1,25000.0,113.2053277290005,25000.0,0.5286315788733601,10.0,0.0,1
Electricity|Gas|OCGT|w/o CCS,RoGonDor,1,22000.0,113.40944098188044,22000.0,0.5286315788733601,10.0,0.0,1
Electricity|Nuclear,DolAmroth,1,5000.0,7.999999999200002,5000.0,0.0,6000000.0,106500.0,1
Electricity|Nuclear,Harad,1,40000.0,7.999999999200002,40000.0,0.0,6000000.0,106500.0,1
Electricity|Nuclear,RoGonDor,1,50783.1830528,7.999999999200003,50783.1830528,0.0,6000000.0,106500.0,1
Electricity|Oil|w/o CCS,Harad,1,3.9496030444614,0.036,3.9496030444614,0.7010526314808001,650000.0,6060.0,1
Electricity|Oil|w/o CCS,RoGonDor,1,8652.376273567692,0.036,8652.376273567692,0.7010526314808001,650000.0,6060.0,1
